timestamp,question,answer,response_time,source,confidence
2026-01-10T01:05:25.338212,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10 (All A+).",1.798988319091916,rag,0.7155681313184644
2026-01-07T02:05:25.338218,How long is the CSE program?,The BSc in CSE is a 4-year undergraduate program consisting of 8 semesters.,4.7462187739503365,llm,0.8100011441226993
2025-12-22T08:05:25.338225,What are the admission requirements?,"Admission requires minimum GPA in SSC and HSC, performance in admission test, and English proficiency.",4.26362442040282,dataset_formatted,0.7207070312412601
2025-12-20T20:05:25.338232,What programs does Green University offer?,"Green University offers CSE, EEE, BBA, Textile Engineering, English, Law, and more.",0.6051609876431667,dataset,0.853477953029921
2025-12-31T16:05:25.338237,How can I get a scholarship?,Merit-based scholarships are available for top 5% students each semester based on GPA.,1.5614693938278645,dataset_formatted,0.5657892457508211
2026-01-04T03:05:25.338244,What is the BBA program fee?,The BBA program fee varies. Merit-based scholarships are available to reduce costs.,3.4642218333101793,llm,0.44376392338824133
2025-12-18T05:05:25.338251,What facilities does the university have?,"The university has modern labs, computer facilities, library, sports facilities, and cafeteria.",1.3386981507787523,dataset,0.9089489401239963
2026-01-03T07:05:25.338257,When does admission start?,Please check the website or contact admission office at 01775234234 for admission dates.,1.8754203971387198,llm,0.5713211272265323
2026-01-05T04:05:25.338264,What is the fee for EEE department?,The EEE program fee varies. Merit-based scholarships are available for top performers.,0.8154269517284839,dataset,0.9023076999455621
2025-12-22T20:05:25.338271,What is the textile engineering fee?,"The Textile Engineering fee is BDT 70,000 per semester.",2.358851216398148,rag,0.8653985504713936
2026-01-05T20:05:25.338278,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10 (All A+).",3.3189140047235433,llm,0.8329167091181593
2026-01-11T19:05:25.338284,How long is the CSE program?,The BSc in CSE is a 4-year undergraduate program consisting of 8 semesters.,3.229918745503901,dataset,0.7871358479095647
2026-01-05T16:05:25.338290,What are the admission requirements?,"Admission requires minimum GPA in SSC and HSC, performance in admission test, and English proficiency.",1.6558377557141986,dataset,0.6628135691724419
2026-01-09T05:05:25.338295,What programs does Green University offer?,"Green University offers CSE, EEE, BBA, Textile Engineering, English, Law, and more.",2.6684313710347807,dataset,0.8055462520389063
2025-12-26T20:05:25.338301,How can I get a scholarship?,Merit-based scholarships are available for top 5% students each semester based on GPA.,0.9274469047832467,rag,0.8768902824512452
2025-12-18T18:05:25.338306,What is the BBA program fee?,The BBA program fee varies. Merit-based scholarships are available to reduce costs.,4.139245259871701,dataset_formatted,0.8064654987470772
2025-12-31T21:05:25.338312,What facilities does the university have?,"The university has modern labs, computer facilities, library, sports facilities, and cafeteria.",2.6974490843856698,llm,0.7177087953987209
2026-01-10T11:05:25.338318,When does admission start?,Please check the website or contact admission office at 01775234234 for admission dates.,4.881576242167266,llm,0.6568178522896782
2025-12-26T18:05:25.338325,What is the fee for EEE department?,The EEE program fee varies. Merit-based scholarships are available for top performers.,4.94455973650875,dataset,0.6212012432421647
2026-01-11T10:05:25.338331,What is the textile engineering fee?,"The Textile Engineering fee is BDT 70,000 per semester.",3.7707485199704807,dataset_formatted,0.2827675658106765
